"","id","x","y"
"796",796,339325.2645,8118932.828
"797",797,339326.2039,8118931.888
"798",798,339326.2039,8118931.888
"799",799,339327.1433,8118930.949
"800",800,339327.1433,8118930.949
"801",801,339328.0827,8118930.01
"802",802,339328.0827,8118930.01
"803",803,339329.9614,8118929.07
"804",804,339329.9614,8118929.07
"805",805,339331.8402,8118928.131
"806",806,339331.8402,8118928.131
"807",807,339333.7189,8118927.191
"808",808,339333.7189,8118927.191
"809",809,339335.5977,8118926.252
"810",810,339335.5977,8118926.252
"811",811,339337.4764,8118925.313
"812",812,339337.4764,8118925.313
"813",813,339339.3552,8118924.373
"814",814,339339.3552,8118924.373
"815",815,339341.2339,8118923.434
"816",816,339341.2339,8118923.434
"817",817,339343.1127,8118922.495
"818",818,339343.1127,8118922.495
"819",819,339344.9914,8118921.555
"820",820,339344.9914,8118921.555
"821",821,339346.8702,8118920.616
"822",822,339346.8702,8118920.616
"823",823,339348.7489,8118919.676
"824",824,339348.7489,8118919.676
"825",825,339350.6277,8118918.737
